date,id_bike,trip_time,distance,max_speed,velocity,odo,ride_time
2020-01-16,1,0.814444444444445,24.86,45.3,30.5238744884038,550.15,22.6875
2020-01-25,1,0.595555555555556,20.23,45.8,33.9682835820895,570.38,23.2830555555556
2020-01-29,1,1.06305555555556,35.49,46.4,33.3848967859941,605.87,24.3461111111111
2020-02-01,1,2.73333333333333,42.55,68.2,15.5670731707317,648.42,27.0794444444445
2020-02-07,1,1.91361111111111,34.48,51.7,18.0182900275802,682.9,28.9930555555556
2020-02-09,1,2.64777777777778,40.63,43.1,15.3449433487201,723.53,31.6408333333334
2020-02-28,1,1.57222222222222,29.92,52.5,19.0303886925795,753.45,33.2130555555556
2020-04-08,1,0.956388888888889,19.76,43.8,20.6610514086552,773.21,34.1694444444445
2020-04-17,1,2.09138888888889,43.85,47.9,20.9669278788684,817.06,36.2608333333334
2020-05-05,1,1.00583333333333,22.51,45.5,22.3794531897267,839.57,37.2666666666667
2020-05-06,1,1,25.06,45.7,25.06,864.63,38.2666666666667
2020-05-07,1,1.5,32.22,39,21.48,896.85,39.7666666666667
2020-05-08,1,1,13.9,20,13.9,910.75,40.7666666666667
2020-05-09,1,2,25.21,27.4,12.605,935.96,42.7666666666667
2020-05-10,1,2,24.09,17,12.045,960.05,44.7666666666667
2020-05-11,1,1.5,15.94,15.1,10.6266666666667,975.99,46.2666666666667
2020-05-13,1,1.5,16.8,15.4,11.2,992.79,47.7666666666667
2020-05-14,1,1.5,15.75,16.4,10.5,1008.54,49.2666666666667
2020-05-15,1,1.5,14.39,21.5,9.59333333333333,1022.93,50.7666666666667
2020-05-16,1,2,19.24,14.5,9.62,1042.17,52.7666666666667
2020-05-17,1,2,19.56,14.8,9.78,1061.73,54.7666666666667
2020-05-18,1,2,19.13,19.9,9.565,1080.86,56.7666666666667
2020-05-19,1,2,17.91,13.9,8.955,1098.77,58.7666666666667
2020-05-20,1,2,20.6,15,10.3,1119.37,60.7666666666667
2020-05-21,1,1.5,16.33,21.9,10.8866666666667,1135.7,62.2666666666667
2020-05-22,1,2,21.82,16.4,10.91,1157.52,64.2666666666667
2020-05-23,1,2,22.83,19.3,11.415,1180.35,66.2666666666667
2020-05-24,1,1.5,20.04,23.2,13.36,1200.39,67.7666666666667
2020-05-25,1,2,25.06,27.8,12.53,1225.45,69.7666666666667
2020-05-26,1,2,24.86,20.6,12.43,1250.31,71.7666666666667
2020-05-27,1,2,25.89,28,12.945,1276.2,73.7666666666667
2020-05-28,1,2,23.59,20.9,11.795,1299.79,75.7666666666667
2020-05-29,1,2,24.78,18.1,12.39,1324.57,77.7666666666667
2020-05-31,1,2,22.86,15.6,11.43,1347.43,79.7666666666667
2020-06-01,1,1.99972222222222,24,22,12.0016668981803,1371.43,81.7663888888889
2020-06-03,1,1.99972222222222,26,23,13.001805806362,1397.43,83.7661111111111
2020-06-04,1,1,15,19,15,1412.43,84.7661111111111
2020-06-05,1,1.99972222222222,25,19,12.5017363522712,1437.43,86.7658333333333
2020-06-06,1,1.99972222222222,27,21,13.5018752604529,1464.43,88.7655555555556
2020-06-07,1,1,14,21,14,1478.43,89.7655555555556
2020-06-08,1,1.99972222222222,30,27,15.0020836227254,1508.43,91.7652777777778
2020-06-09,1,1.99972222222222,29,24,14.5020141686345,1537.43,93.765
2020-06-10,1,1.99972222222222,29,23,14.5020141686345,1566.43,95.7647222222222
2020-06-11,1,1.99972222222222,30,28,15.0020836227254,1596.43,97.7644444444444
2020-06-12,1,1.99972222222222,30,24,15.0020836227254,1626.43,99.7641666666666
2020-06-13,1,1.99972222222222,27,21,13.5018752604529,1653.43,101.763888888889
2020-06-14,1,1.99972222222222,30,27,15.0020836227254,1683.43,103.763611111111
2020-06-15,1,1.99972222222222,31,30,15.5021530768162,1714.43,105.763333333333
2020-06-16,1,1.99972222222222,30,29,15.0020836227254,1744.43,107.763055555556
2020-06-17,1,1.99972222222222,29,29,14.5020141686345,1773.43,109.762777777778
2020-06-18,1,1.99972222222222,29,22,14.5020141686345,1802.43,111.7625
2020-06-19,1,1.99972222222222,28,34,14.0019447145437,1830.43,113.762222222222
2020-06-20,1,0.770277777777778,9,59,11.6840966462315,1839.43,114.5325
2020-06-22,1,1.89944444444444,28,63,14.741152383738,1867.43,116.431944444444
2020-06-23,1,1.99972222222222,34,28,17.0023614390888,1901.43,118.431666666667
2020-06-24,1,3.30666666666667,47,63,14.2137096774193,1948.43,121.738333333333
2020-06-25,1,1,14,19,14,1962.43,122.738333333333
2020-06-26,1,1.5,24,29,16,1986.43,124.238333333333
2020-06-27,1,2.75888888888889,62,70,22.4728151429722,2048.43,126.997222222222
2020-06-28,1,4.21,84,56,19.9524940617577,2132.43,131.207222222222
2020-06-30,1,1.5,20,33,13.3333333333333,2152.43,132.707222222222
2020-07-04,1,2.31722222222222,43,65,18.5567010309279,2195.43,135.024444444444
2020-07-07,1,2.13166666666667,38,70,17.8264268960125,2233.43,137.156111111111
2020-07-09,1,2.29861111111111,41,64,17.8368580060423,2274.43,139.454722222222
2020-07-11,1,2.19916666666667,40,67,18.1887078438802,2314.43,141.653888888889
2020-07-14,1,2.47666666666667,38,65,15.343203230148,2352.43,144.130555555555
2020-07-16,1,1.94638888888889,38,67,19.5233338090481,2390.43,146.076944444444
2020-07-18,1,1.00138888888889,15,36,14.9791955617198,2405.43,147.078333333333
2020-07-19,1,1,14,21,14,2419.43,148.078333333333
2020-07-20,1,1,15,24,15,2434.43,149.078333333333
2020-07-21,1,3.12416666666667,56,72,17.9247799413177,2490.43,152.2025
2020-07-22,1,2.57944444444444,47,67,18.2209778160672,2537.43,154.781944444444
2020-07-24,1,1,21,45,21,2558.43,155.781944444444
2020-07-25,1,1,19,28,19,2577.43,156.781944444444
2020-07-26,1,1,22,36,22,2599.43,157.781944444444
2020-07-28,1,1.50027777777778,31,35,20.662840214775,2630.43,159.282222222222
2020-07-30,1,2.25527777777778,71,67,31.4817095701441,2701.43,161.5375
2020-08-01,1,1,24,48,24,2725.43,162.5375
2020-08-02,1,1,20,33,20,2745.43,163.5375
2020-08-04,1,1.21861111111111,23,51,18.8739457488033,2768.43,164.756111111111
2020-08-05,1,1.89916666666667,46,74,24.2211496270294,2814.43,166.655277777778
2020-08-09,1,1.50027777777778,34,37,22.662469912979,2848.43,168.155555555555
2020-08-10,1,2.545,47,69,18.467583497053,2895.43,170.700555555555
2020-08-11,1,1,23,45,23,2918.43,171.700555555555
2020-08-13,1,2.06027777777778,38,69,18.4441148712417,2956.43,173.760833333333
2020-08-15,1,1.08333333333333,18,24,16.6153846153847,2974.43,174.844166666667
2020-08-16,1,1,20,30,20,2994.43,175.844166666667
2020-08-17,1,1,16,30,16,3010.43,176.844166666667
2020-08-19,1,2.13333333333333,39,58,18.28125,3049.43,178.9775
2020-08-22,1,3.44694444444444,100,68,29.0112015472641,3149.43,182.424444444444
2020-08-25,1,2.63111111111111,62,69,23.5641891891892,3211.43,185.055555555555
2020-08-28,1,1.82305555555556,35,67,19.1985372543044,3246.43,186.878611111111
2020-08-30,1,2.65527777777778,64,69,24.1029396380374,3310.43,189.533888888889
2020-08-31,1,2.38138888888889,35,36,14.6973054939928,3345.43,191.915277777778
2020-09-09,1,1.00055555555556,18.55,27.8,18.539700166574,3363.98,192.915833333333
2020-10-01,1,1,23,37,23,3386.98,193.915833333333
2020-10-02,1,1.00055555555556,21,37,20.9883398112159,3407.98,194.916388888889
2020-10-03,1,1,22,35,22,3429.98,195.916388888889
2020-10-05,1,1,22,36,22,3451.98,196.916388888889
2020-10-07,1,1,20,30,20,3471.98,197.916388888889
2020-10-14,1,1,16,21,16,3487.98,198.916388888889
2020-10-15,1,1,21,37,21,3508.98,199.916388888889
2020-10-17,1,1,24,41,24,3532.98,200.916388888889
2020-10-18,1,2.155,45,62,20.8816705336427,3577.98,203.071388888889
2020-10-20,1,1.88444444444444,37,58,19.6344339622642,3614.98,204.955833333333
2020-10-22,1,2.34333333333333,40,62,17.0697012802276,3654.98,207.299166666667
2020-10-23,1,1,20,33,20,3674.98,208.299166666667
2020-10-27,1,2.935,52,60,17.717206132879,3726.98,211.234166666667
2020-10-28,1,1.54777777777778,33,69,21.3208901651112,3759.98,212.781944444444
2020-11-01,1,1,18,25,18,3777.98,213.781944444444
2020-11-02,1,3.41555555555556,63,65,18.445022771633,3840.98,217.1975
2021-01-22,1,0.666666666666667,10.68,22.9,16.02,3851.66,217.864166666667
2021-01-23,1,0.666666666666667,11.31,22.5,16.965,3862.97,218.530833333333
2021-01-24,1,0.666666666666667,13.33,39.3,19.995,3876.3,219.1975
2021-01-26,1,0.75,14.29,30.3,19.0533333333333,3890.59,219.9475
2021-01-28,1,0.75,14.26,29.6,19.0133333333333,3904.85,220.6975
2021-01-30,1,1.15777777777778,20.13,38,17.3867562380038,3924.98,221.855277777778
2021-01-31,1,0.75,14.77,30,19.6933333333333,3939.75,222.605277777778
2021-02-01,1,1,20.92,36.3,20.92,3960.67,223.605277777778
2021-02-02,1,1,20.87,38,20.87,3981.54,224.605277777778
2021-02-04,1,1,19.95,32.3,19.95,4001.49,225.605277777778
2021-02-06,1,1,20.84,34.9,20.84,4022.33,226.605277777778
2021-02-07,1,1,22.06,38.4,22.06,4044.39,227.605277777778
2021-02-08,1,1,20.85,33.6,20.85,4065.24,228.605277777778
2021-02-10,1,1,19.58,31.6,19.58,4084.82,229.605277777778
2021-02-11,1,1,21.25,31.9,21.25,4106.07,230.605277777778
2021-02-12,1,1,19.16,39.5,19.16,4125.23,231.605277777778
2021-02-15,1,1,20.41,32.4,20.41,4145.64,232.605277777778
2021-02-16,1,1,20.34,31,20.34,4165.98,233.605277777778
2021-02-17,1,0.5,10.7,36.3,21.4,4176.68,234.105277777778
2021-02-18,1,1,19.66,32.4,19.66,4196.34,235.105277777778
2021-02-20,1,1,20.78,34.8,20.78,4217.12,236.105277777778
2021-02-21,1,1,20.8,35.1,20.8,4237.92,237.105277777778
2021-02-22,1,1,20.58,30.3,20.58,4258.5,238.105277777778
2021-02-23,1,1.01444444444444,23.5,41.1,23.1653888280395,4282.0,239.119722222222
2021-02-24,1,1,18.75,34.3,18.75,4300.75,240.119722222222
2021-02-25,1,0.629722222222222,11.78,46.7,18.7066607851787,4312.53,240.749444444444
2021-02-26,1,1.19611111111111,24.86,52.5,20.7840222944728,4337.39,241.945555555555
2021-02-27,1,0.977777777777778,17.28,42.2,17.6727272727273,4354.67,242.923333333333
2021-04-10,1,1,19.42,30.1,19.42,4374.09,243.923333333333
2021-04-11,1,1,18.51,30.6,18.51,4392.6,244.923333333333
2021-04-12,2,1.60916666666667,62,57,38.5292594510615,62,1.60916666666667
2021-04-13,2,1.79,6.07,42.1,3.39106145251397,68.07,3.39916666666667
2021-04-16,1,0.678333333333333,12.47,50.1,18.3832923832924,4405.07,245.601666666667
2021-04-17,1,1,17.45,33.8,17.45,4422.52,246.601666666667
2021-04-19,1,0.858611111111111,16.18,44.8,18.8443869297962,4438.7,247.460277777778
2021-04-20,2,1.6175,37.2,50.4,22.9984544049459,105.27,5.01666666666667
2021-04-25,1,1,20.15,40,20.15,4458.85,248.460277777778
2021-04-26,1,1,19.39,31.2,19.39,4478.24,249.460277777778
2021-04-29,2,2.02333333333333,35.51,55.8,17.5502471169687,140.78,7.04
